#{"t_start": 1745850807.8479297, "env_id": "None"}
r,l,t
80.0,17,12.47429
54.0,17,12.482168
54.0,17,12.489935
80.0,17,12.497147
54.0,17,12.504032
80.0,17,12.510739
54.0,17,12.517087
54.0,17,12.523241
54.0,17,12.529402
32.0,17,12.535273
54.0,17,12.541887
54.0,17,12.54751
80.0,17,12.552976
54.0,17,12.558239
32.0,17,12.563568
80.0,17,12.568636
36.0,17,12.573649
80.0,17,12.578415
32.0,17,12.583228
32.0,17,12.58786
32.0,17,12.5925
