#{"t_start": 1745837767.579715, "env_id": "None"}
r,l,t
62.0,17,32.993642
40.0,17,32.993649
44.0,17,32.993657
32.0,17,33.459552
48.0,17,33.459607
48.0,17,33.459619
66.0,17,33.459627
40.0,17,33.459635
40.0,17,33.459642
32.0,17,33.45965
14.0,17,33.459658
44.0,17,33.953539
40.0,17,33.953621
32.0,17,33.953635
44.0,17,33.953646
44.0,17,33.953654
48.0,17,33.953662
36.0,17,33.95367
58.0,17,33.95368
18.0,17,34.351769
40.0,17,34.351862
40.0,17,34.351877
44.0,17,34.351887
26.0,17,34.351896
44.0,17,34.351903
32.0,17,34.351911
54.0,17,34.351919
26.0,17,34.755246
44.0,17,34.755318
40.0,17,34.755328
44.0,17,34.755335
40.0,17,34.755342
14.0,17,34.755348
26.0,17,34.755354
40.0,17,34.75536
66.0,17,35.244086
54.0,17,35.244144
44.0,17,35.244159
80.0,17,35.244167
58.0,17,35.244179
44.0,17,35.244187
32.0,17,35.244196
26.0,17,35.244208
62.0,17,35.755478
58.0,17,35.75558
26.0,17,35.755594
36.0,17,35.755603
26.0,17,35.75561
40.0,17,35.755618
26.0,17,35.755629
62.0,17,35.755638
40.0,17,36.23184
44.0,17,36.231927
26.0,17,36.231941
14.0,17,36.231949
58.0,17,36.231957
26.0,17,36.231965
54.0,17,36.231974
26.0,17,36.231982
66.0,17,36.686825
58.0,17,36.686883
44.0,17,36.686897
62.0,17,36.686907
26.0,17,36.686915
26.0,17,36.686923
44.0,17,36.686932
66.0,17,36.68694
40.0,17,37.17467
66.0,17,37.174742
58.0,17,37.174753
66.0,17,37.17476
40.0,17,37.174766
48.0,17,37.174773
26.0,17,37.17478
40.0,17,37.174786
22.0,17,37.643446
48.0,17,37.643499
26.0,17,37.643509
58.0,17,37.643517
66.0,17,37.643523
40.0,17,37.64353
26.0,17,37.643537
40.0,17,37.643544
40.0,17,38.143135
32.0,17,38.143218
48.0,17,38.14323
14.0,17,38.143237
54.0,17,38.143244
40.0,17,38.14325
58.0,17,38.143257
36.0,17,38.143263
26.0,17,38.640755
66.0,17,38.640835
54.0,17,38.640851
26.0,17,38.640862
58.0,17,38.64087
48.0,17,38.640879
58.0,17,38.640888
26.0,17,38.640897
44.0,17,39.122874
32.0,17,39.122927
54.0,17,39.122939
66.0,17,39.122946
44.0,17,39.122953
58.0,17,39.122959
62.0,17,39.122966
26.0,17,39.122972
48.0,17,39.599779
40.0,17,39.599863
32.0,17,39.599873
48.0,17,39.59988
66.0,17,39.599887
40.0,17,39.599894
58.0,17,39.5999
44.0,17,39.599907
26.0,17,40.04551
58.0,17,40.045572
40.0,17,40.045588
40.0,17,40.045598
32.0,17,40.045606
48.0,17,40.045614
48.0,17,40.045622
40.0,17,40.045629
40.0,17,40.544281
40.0,17,40.544355
22.0,17,40.544368
54.0,17,40.544377
40.0,17,40.544385
26.0,17,40.544393
58.0,17,40.5444
40.0,17,40.544408
40.0,17,41.015901
22.0,17,41.015993
26.0,17,41.016008
40.0,17,41.016016
44.0,17,41.016024
48.0,17,41.016032
40.0,17,41.01604
48.0,17,41.016048
58.0,17,41.499448
44.0,17,41.499501
36.0,17,41.499511
58.0,17,41.499518
62.0,17,41.499525
48.0,17,41.499531
48.0,17,41.499538
48.0,17,41.499545
54.0,17,42.023107
66.0,17,42.023176
18.0,17,42.023186
62.0,17,42.023193
80.0,17,42.023201
58.0,17,42.023207
48.0,17,42.023214
44.0,17,42.023221
48.0,17,42.514405
40.0,17,42.514461
66.0,17,42.514475
48.0,17,42.514484
62.0,17,42.514492
44.0,17,42.5145
26.0,17,42.514508
32.0,17,42.514517
36.0,17,42.991889
32.0,17,42.991982
40.0,17,42.991995
18.0,17,42.992004
40.0,17,42.992012
54.0,17,42.99202
54.0,17,42.992028
66.0,17,42.992037
44.0,17,43.154674
32.0,17,43.154723
40.0,17,43.154733
40.0,17,43.154739
48.0,17,43.154746
58.0,17,43.154752
26.0,17,43.154758
58.0,17,43.154765
26.0,17,197.197482
32.0,17,197.197636
58.0,17,197.197653
48.0,17,197.197662
48.0,17,197.19767
58.0,17,197.197679
48.0,17,197.197689
44.0,17,197.197697
40.0,17,197.675635
62.0,17,197.67569
32.0,17,197.675703
48.0,17,197.675712
44.0,17,197.67572
40.0,17,197.675728
62.0,17,197.675736
22.0,17,197.675744
44.0,17,198.18409
54.0,17,198.184147
18.0,17,198.184162
54.0,17,198.184171
62.0,17,198.184179
40.0,17,198.184187
66.0,17,198.184195
62.0,17,198.184203
54.0,17,198.667846
48.0,17,198.667901
40.0,17,198.667915
48.0,17,198.667924
18.0,17,198.667932
58.0,17,198.66794
48.0,17,198.667948
18.0,17,198.667955
62.0,17,199.103916
44.0,17,199.103973
32.0,17,199.103987
48.0,17,199.103997
54.0,17,199.104005
48.0,17,199.104012
32.0,17,199.104021
40.0,17,199.104029
58.0,17,199.302854
22.0,17,199.302911
66.0,17,199.302925
48.0,17,199.302935
58.0,17,199.302943
32.0,17,199.30295
54.0,17,199.302959
54.0,17,199.302968
54.0,17,199.59163
66.0,17,199.591688
36.0,17,199.591704
32.0,17,199.591715
48.0,17,199.591723
48.0,17,199.591732
58.0,17,199.591741
58.0,17,199.591749
44.0,17,200.051017
80.0,17,200.051076
26.0,17,200.051088
36.0,17,200.051095
62.0,17,200.051103
40.0,17,200.051112
58.0,17,200.05112
54.0,17,200.051128
40.0,17,200.531238
62.0,17,200.531297
36.0,17,200.531311
44.0,17,200.53132
58.0,17,200.531329
48.0,17,200.531337
44.0,17,200.531346
40.0,17,200.531354
62.0,17,201.004413
40.0,17,201.004468
44.0,17,201.00448
32.0,17,201.004488
62.0,17,201.004497
58.0,17,201.004505
44.0,17,201.004513
18.0,17,201.004521
26.0,17,201.471163
58.0,17,201.471215
26.0,17,201.471225
44.0,17,201.471232
40.0,17,201.471239
54.0,17,201.471246
66.0,17,201.471253
40.0,17,201.47126
26.0,17,201.943169
26.0,17,201.943229
26.0,17,201.943242
54.0,17,201.943251
36.0,17,201.943259
32.0,17,201.943267
62.0,17,201.943276
58.0,17,201.943284
48.0,17,202.428586
48.0,17,202.428642
40.0,17,202.428654
32.0,17,202.428663
18.0,17,202.428671
66.0,17,202.428679
40.0,17,202.428687
62.0,17,202.428696
32.0,17,202.93771
62.0,17,202.937772
40.0,17,202.937787
48.0,17,202.937796
62.0,17,202.937805
22.0,17,202.937812
54.0,17,202.93782
40.0,17,202.937829
62.0,17,203.436078
58.0,17,203.436139
26.0,17,203.436153
40.0,17,203.436162
80.0,17,203.43617
66.0,17,203.436178
18.0,17,203.436186
66.0,17,203.436194
18.0,17,203.884341
54.0,17,203.884399
44.0,17,203.884412
54.0,17,203.884421
36.0,17,203.88443
54.0,17,203.884438
80.0,17,203.884447
62.0,17,203.884455
40.0,17,204.341832
54.0,17,204.341891
62.0,17,204.341913
26.0,17,204.341923
36.0,17,204.341931
32.0,17,204.341939
40.0,17,204.341948
40.0,17,204.341956
66.0,17,204.811571
26.0,17,204.811627
44.0,17,204.81164
44.0,17,204.811649
54.0,17,204.811657
44.0,17,204.811665
66.0,17,204.811673
54.0,17,204.811682
44.0,17,205.25023
36.0,17,205.250293
80.0,17,205.250307
40.0,17,205.250316
58.0,17,205.250324
32.0,17,205.250333
54.0,17,205.250342
44.0,17,205.25035
44.0,17,205.693365
48.0,17,205.693427
54.0,17,205.69344
26.0,17,205.69345
32.0,17,205.693458
26.0,17,205.693467
32.0,17,205.693474
66.0,17,205.693482
40.0,17,206.143895
32.0,17,206.143955
40.0,17,206.143969
44.0,17,206.143979
14.0,17,206.143987
66.0,17,206.143996
66.0,17,206.144004
62.0,17,206.144012
40.0,17,206.624021
58.0,17,206.624079
58.0,17,206.624094
66.0,17,206.624102
80.0,17,206.624112
58.0,17,206.624119
48.0,17,206.624128
58.0,17,206.624136
66.0,17,207.075962
32.0,17,207.076019
14.0,17,207.076033
40.0,17,207.076042
66.0,17,207.076051
66.0,17,207.076059
26.0,17,207.076067
44.0,17,207.076075
22.0,17,207.554137
54.0,17,207.554197
26.0,17,207.554211
62.0,17,207.55422
44.0,17,207.554228
54.0,17,207.554237
32.0,17,207.554246
54.0,17,207.554254
48.0,17,208.02738
32.0,17,208.027434
62.0,17,208.027444
36.0,17,208.027452
58.0,17,208.027459
40.0,17,208.027466
44.0,17,208.027472
36.0,17,208.027479
48.0,17,208.502999
40.0,17,208.503056
48.0,17,208.503069
44.0,17,208.503077
36.0,17,208.503085
58.0,17,208.503093
80.0,17,208.503101
80.0,17,208.503109
40.0,17,208.970664
48.0,17,208.97072
32.0,17,208.970733
22.0,17,208.970742
62.0,17,208.97075
44.0,17,208.970758
40.0,17,208.970767
36.0,17,208.970775
32.0,17,209.445482
48.0,17,209.445543
26.0,17,209.445555
40.0,17,209.445564
48.0,17,209.445572
32.0,17,209.445581
36.0,17,209.44559
48.0,17,209.445599
18.0,17,209.919773
48.0,17,209.919832
40.0,17,209.919847
66.0,17,209.919856
48.0,17,209.919865
22.0,17,209.919873
62.0,17,209.919882
36.0,17,209.91989
62.0,17,210.268628
32.0,17,210.268688
62.0,17,210.268703
54.0,17,210.268712
54.0,17,210.26872
44.0,17,210.268729
62.0,17,210.268737
26.0,17,210.268745
44.0,17,210.728047
58.0,17,210.728105
62.0,17,210.728118
54.0,17,210.728126
58.0,17,210.728134
36.0,17,210.728143
58.0,17,210.728151
44.0,17,210.72816
66.0,17,211.206168
26.0,17,211.206228
62.0,17,211.206242
44.0,17,211.20625
66.0,17,211.206259
14.0,17,211.206267
66.0,17,211.206275
48.0,17,211.206284
32.0,17,211.682083
26.0,17,211.682135
66.0,17,211.682144
40.0,17,211.682152
54.0,17,211.682158
62.0,17,211.682165
36.0,17,211.682172
32.0,17,211.682179
54.0,17,212.161317
26.0,17,212.161376
58.0,17,212.16139
58.0,17,212.1614
40.0,17,212.161408
54.0,17,212.161417
32.0,17,212.161425
32.0,17,212.161433
44.0,17,212.653933
32.0,17,212.653991
58.0,17,212.654005
44.0,17,212.654014
54.0,17,212.654022
36.0,17,212.65403
40.0,17,212.654039
40.0,17,212.654048
66.0,17,213.160174
32.0,17,213.160227
32.0,17,213.160237
40.0,17,213.160243
58.0,17,213.16025
36.0,17,213.160257
18.0,17,213.160264
62.0,17,213.160271
62.0,17,213.66346
36.0,17,213.663521
62.0,17,213.663537
40.0,17,213.663547
26.0,17,213.663555
26.0,17,213.663564
18.0,17,213.663573
22.0,17,213.663581
48.0,17,214.138568
18.0,17,214.138627
40.0,17,214.138642
80.0,17,214.138652
32.0,17,214.138661
